Takt;A;U;W;F;E;T;Max;PL of Max
1;0.024;0.08;1;0.024;0.024;0.06;F;1
2;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
3;0.024;0.08;1;0.024;0.024;0.06;F;1
4;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
5;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
6;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
7;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
8;0.024;0.08;1;0.024;0.024;0.06;F;1
9;0.024;0.024;1;0.024;0.08;0.2;F;1
10;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
11;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
12;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
13;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
14;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
15;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
16;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
17;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
18;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
19;0.024;0.08;1;0.024;0.024;0.06;F;1
20;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
21;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
22;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
23;0.024;0.08;1;0.024;0.024;0.06;F;1
24;0.12;0.08;1;0.024;0.12;0.3;F;1
25;0.024;0.08;1;0.024;0.024;0.06;F;1
26;0.12;0.024;1;0.024;0.4;1;F;1
27;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
28;0.12;0.08;1;0.024;0.12;0.3;F;1
29;0.024;0.08;1;0.024;0.024;0.06;F;1
30;0.024;0.024;1;0.024;0.08;0.2;F;1
31;0.3;0.024;1;0.024;1;1;F;1
32;0.3;0.024;1;0.024;1;1;F;1
33;0.3;0.024;1;0.024;1;1;F;1
34;0.3;0.024;1;0.024;1;1;F;1
35;0.024;0.024;1;0.024;0.08;0.2;F;1
36;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
37;0.024;0.08;1;0.024;0.024;0.06;F;1
38;0.024;0.08;1;0.024;0.024;0.06;F;1
39;0.024;0.024;1;0.024;0.08;0.2;F;1
40;0.024;0.024;1;0.024;0.08;0.2;F;1
41;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
42;0.024;0.08;1;0.024;0.024;0.06;F;1
43;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
44;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
45;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
46;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
47;0.0674157;0.0674157;0.741573;0.0674157;0.0674157;0.0674157;F;0.741573
48;0.024;0.08;1;0.024;0.024;0.06;F;1
49;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
50;0.0550459;0.917431;0.137615;0.917431;0.0550459;0.137615;E;0.917431
